# users: Sarah Needham
# sample descripton: CHO_WTEGFR_2nMEGF_topup
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0037_c3f37961-3c73-4032-b2cf-aab872227ff2,172,x,,,,,,126,148,,,
,,x,,,,,,109,124,,,
,,,x,,,,,60,101,,,
,,,x,,,,,45,52,,,
,,,x,,,,,10,40,,,
,,,x,,,,,2,8,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0037_c3f37961-3c73-4032-b2cf-aab872227ff2,298,x,,,,,,133,144,,,
,,x,,,,,,115,131,,,
,,x,,,,,,102,110,,,
,,x,,,,,,72,77,,,
,,,x,,,,,47,61,,,
,,,x,,,,,7,34,,,
,,,x,,,,,36,40,,,
,,,x,,,,,42,45,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0037_c3f37961-3c73-4032-b2cf-aab872227ff2,336,x,,,,,,489,509,,,
,,,x,,,,,402,475,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0037_c3f37961-3c73-4032-b2cf-aab872227ff2,432,x,,,,,,101,138,,,
,,x,,,,,,140,149,,,
,,,x,,,,,60,78,,,
,,,x,,,,,80,99,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0037_c3f37961-3c73-4032-b2cf-aab872227ff2,750,x,,,,,,126,148,,,
,,x,,,,,,150,156,,,
,,,x,,,,,48,121,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0037_c3f37961-3c73-4032-b2cf-aab872227ff2,4328,x,,,,,,254,257,,,
,,x,,,,,,266,271,,,
,,x,,,,,,285,288,,,
,,x,,,,,,291,299,,,
,,x,,,,,,302,308,,,
,,x,,,,,,310,314,,,
,,x,,,,,,321,327,,,
,,x,,,,,,337,346,,,
,,x,,,,,,348,351,,,
,,x,,,,,,372,380,,,
,,x,,,,,,383,386,,,
,,,x,,,,,246,252,,,
