# users: Sarah Needham
# sample descripton: I942E_EGFR_Affibody
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,309,x,,,,,,216,255,,,,110,310
,,,x,,,,,180,209,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,483,x,,,,,,139,310,,,,110,310
,,,x,,,,,110,136,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,627,x,,,,,,500,503,,,,390,646
,,x,,,,,,442,498,,,
,,,x,,,,,419,424,,,
,,,x,,,,,412,417,,,
,,,x,,,,,399,405,,,
,,,x,,,,,390,397,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,669,x,,,,,,250,289,,,,110,310
,,x,,,,,,240,243,,,
,,,x,,,,,199,228,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,1420,x,,,,,,307,310,,,,110,310
,,x,,,,,,292,305,,,
,,x,,,,,,275,290,,,
,,x,,,,,,245,273,,,
,,x,,,,,,231,236,,,
,,x,,,,,,223,229,,,
,,x,,,,,,217,221,,,
,,,x,,,,,181,207,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,1520,x,,,,,,114,119,,,,110,310
,,x,,,,,,127,130,,,
,,x,,,,,,158,169,,,
,,x,,,,,,173,179,,,
,,x,,,,,,192,196,,,
,,,x,,,,,224,302,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,2471,x,,,,,,126,185,,,,110,310
,,,x,,,,,110,124,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0049_bf653b09-de50-4589-8815-fd4e633de577,6613,x,,,,,,539,542,,,,390,647
,,,x,,,,,530,533,,,
,,,x,,,,,474,478,,,
,,,x,,,,,480,483,,,
,,,x,,,,,487,492,,,
,,,x,,,,,494,499,,,
,,,x,,,,,503,520,,,
,,,x,,,,,522,525,,,
