folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0027_06aaef44-9d88-4fd4-aaeb-79bca1fc5a63,6649,x,,,,,,792,855,,,,700,999
,,,x,,,,,730,781,,,
,,,x,,,,,703,727,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0033_836c4510-ff14-4db2-91c5-5a0c43f9f21f,4365,x,,,,,,372,406,,,,371,984
,,,x,,,,,407,429,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0035_24a1cace-e5bc-4380-a9d4-41b92c51bde0,938,x,,,,,,97,127,,,
,,x,,,,,,129,182,,,
,,x,,,,,,184,209,,,
,,,x,,,,,211,297,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0036_dcb2d104-9a13-4e63-b685-39f388b86de9,5793,x,,,,,,549,572,,,,151,1001
,,,x,,,,,503,547,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0040_bb89fbc4-26fa-443f-876d-eeb101d70bd0,759,x,,,,,,99,158,,,
,,,x,,,,,43,95,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0042_6ff8e60d-6bcf-4e83-86f8-afdc277a8d1a,1007,x,,,,,,340,499,,,,60,500
,,,x,,,,,242,310,,,
,,,x,,,,,165,240,,,
,,,x,,,,,144,163,,,
,,,x,,,,,88,134,,,
,,,x,,,,,67,86,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0045_f79968f9-72d3-47dc-acbd-54a212183e00,5233,x,,,,,,454,578,,,,320,650
,,x,,,,,,350,401,,,
,,x,,,,,,405,450,,,
,,,x,,,,,582,623,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170428_0001_0006_59d55997-c01e-4f32-820e-366cb34ae80e,6448,x,,,,,,473,495,,,,400,860
,,,x,,,,,437,472,,,
