# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR 5nM AffiCF640R
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0026_dcf1e870-0536-4436-a485-085100f8739b,72,x,,,,,,139,171,,,
,,x,,,,,,173,178,,,
,,,x,,,,,6,132,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0026_dcf1e870-0536-4436-a485-085100f8739b,285,x,,,,,,94,102,,,
,,x,,,,,,104,113,,,
,,x,,,,,,115,153,,,
,,,x,,,,,49,90,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0026_dcf1e870-0536-4436-a485-085100f8739b,324,x,,,,,,41,46,,,
,,x,,,,,,48,60,,,
,,x,,,,,,65,78,,,
,,x,,,,,,80,90,,,
,,x,,,,,,94,129,,,
,,,x,,,,,17,37,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0026_dcf1e870-0536-4436-a485-085100f8739b,1808,x,,,,,,214,292,,,
,,x,,,,,,300,376,,,
,,x,,,,,,378,488,,,
,,,x,,,,,165,203,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0026_dcf1e870-0536-4436-a485-085100f8739b,4102,x,,,,,,442,450,,,
,,x,,,,,,455,488,,,
,,,x,,,,,285,365,,,
,,,x,,,,,389,407,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141103_0001_0026_dcf1e870-0536-4436-a485-085100f8739b,4131,x,,,,,,385,429,,,
,,x,,,,,,431,458,,,
,,x,,,,,,466,496,,,
,,,x,,,,,263,381,,,
