20160112_0001_0026,85,81.5,86.6,5.1,0.50,0.48,82
20160822_0001_0033,26,273.2,278.3,5.1,0.48,0.55,83
20141103_0001_0002,942,233.7,238.9,5.1,0.58,0.44,84
20160112_0001_0066,1047,371.2,376.3,5.2,0.50,0.65,85
20160822_0001_0047,127,120.6,125.7,5.2,0.50,0.57,86
20160822_0001_0048,564,268.5,273.6,5.2,0.51,0.59,87
20160823_0001_0025,208,221.4,226.6,5.2,0.52,0.50,88
20141103_0001_0014,145,273.4,278.6,5.2,0.50,0.31,89
20141103_0001_0029,845,246.0,251.2,5.2,0.50,0.57,90
20160121_0001_0036,42,46.2,51.4,5.2,0.52,0.54,91
20160121_0001_0026,219,102.7,107.9,5.2,0.49,0.57,92
20160819_0002_0019,501,274.1,279.4,5.3,0.49,0.55,93
20141103_0001_0014,3732,274.7,280.0,5.3,0.49,0.56,94
20160121_0001_0036,427,275.3,280.6,5.3,0.48,0.51,95
20141103_0001_0020,2025,204.6,209.9,5.3,0.50,0.58,96
20160113_0002_0033,118,26.6,31.9,5.3,0.51,0.46,97
20141104_0001_0003,242,48.8,54.1,5.3,0.47,0.47,98
20160113_0002_0023,166,177.7,183.0,5.3,0.51,0.62,99
20160112_0001_0015,549,236.0,241.3,5.3,0.50,0.47,100
20160121_0001_0043,2169,106.4,111.8,5.3,0.50,0.36,101
20160819_0002_0004,3448,241.7,247.1,5.4,0.51,0.52,102
20160111_0001_0033,78,62.1,67.5,5.4,0.52,0.44,103
20160819_0002_0010,172,5.5,10.9,5.4,0.46,0.55,104
20141103_0001_0001,454,345.0,350.4,5.4,0.51,0.46,105
20160121_0001_0021,13,54.5,59.9,5.4,0.49,0.46,106
20141103_0001_0016,733,108.5,113.9,5.4,0.49,0.55,107
20160113_0002_0046,7,23.0,28.4,5.4,0.49,0.55,108
20160121_0001_0021,630,169.8,175.2,5.4,0.47,0.45,109
20160121_0001_0036,25,236.8,242.2,5.4,0.52,0.41,110
20160819_0002_0016,2370,228.1,233.6,5.4,0.51,0.65,111
20160121_0001_0043,123,20.1,25.6,5.5,0.47,0.44,112
20141103_0001_0030,91,195.3,200.8,5.5,0.47,0.49,113
20160113_0002_0069,631,0.3,5.7,5.5,0.20,0.68,114
20141104_0001_0010,3800,142.4,147.9,5.5,0.50,0.48,115
20160819_0002_0017,400,134.3,139.8,5.5,0.49,0.63,116
20141103_0001_0011,2913,183.2,188.7,5.5,0.51,0.41,117
20160121_0001_0024,135,165.0,170.4,5.5,0.51,0.49,118
20141104_0001_0004,814,277.1,282.6,5.5,0.51,0.34,119
20141104_0001_0010,1105,3.4,8.9,5.5,0.46,0.43,120
20141104_0001_0004,492,245.2,250.8,5.5,0.51,0.46,121
20141103_0001_0024,1659,199.6,205.2,5.6,0.50,0.43,122
20160112_0001_0030,70,25.0,30.6,5.6,0.48,0.72,123
20160111_0001_0010,216,20.2,25.8,5.6,0.48,0.63,124
20160112_0001_0030,21,49.4,55.1,5.6,0.49,0.54,125
20160823_0001_0025,977,294.4,300.1,5.7,0.50,0.52,126
20141104_0001_0001,385,23.1,28.7,5.7,0.49,0.47,127
20160121_0001_0024,1740,69.9,75.5,5.7,0.50,0.47,128
20141104_0001_0001,12,69.4,75.1,5.7,0.49,0.59,129
20141103_0001_0015,3010,4.2,9.9,5.7,0.40,0.49,130
20160121_0001_0027,410,16.7,22.4,5.7,0.47,0.45,131
20141103_0001_0024,527,124.0,129.8,5.8,0.49,0.51,132
20160121_0001_0043,259,171.7,177.6,5.8,0.50,0.39,133
20160121_0001_0022,76,115.1,121.0,5.8,0.49,0.49,134
20160819_0002_0005,1476,427.4,433.2,5.9,0.49,0.56,135
20160112_0001_0065,27,143.7,149.6,5.9,0.49,0.38,136
20160819_0002_0004,735,438.2,444.1,5.9,0.50,0.47,137
20141104_0001_0010,300,291.8,297.6,5.9,0.50,0.55,138
20141104_0001_0007,2891,236.4,242.4,5.9,0.49,0.52,139
20160112_0001_0013,79,167.2,173.1,5.9,0.49,0.48,140
20141103_0001_0020,1652,404.0,409.9,5.9,0.51,0.34,141
20160819_0002_0009,1078,191.1,197.1,5.9,0.50,0.48,142
20160111_0001_0014,201,124.1,130.1,6.0,0.51,0.49,143
20160111_0001_0032,5677,304.2,310.2,6.0,0.52,0.47,144
20141104_0001_0008,184,184.1,190.0,6.0,0.47,0.49,145
20160112_0001_0027,4075,340.0,346.0,6.0,0.50,0.50,146
20141103_0001_0003,460,216.2,222.2,6.0,0.50,0.47,147
20160113_0002_0024,90,34.2,40.2,6.0,0.51,0.47,148
20160822_0001_0050,972,190.6,196.7,6.0,0.50,0.47,149
20160111_0001_0014,23,84.7,90.7,6.1,0.50,0.39,150
20160121_0001_0028,483,94.2,100.2,6.1,0.52,0.57,151
20160822_0001_0049,1520,241.3,247.3,6.1,0.50,0.45,152
20141103_0001_0015,67,2.4,8.5,6.1,0.39,0.59,153
20160819_0002_0012,4374,91.6,97.7,6.1,0.50,0.48,154
20141103_0001_0029,704,120.5,126.6,6.1,0.48,0.47,155
20160113_0002_0025,18,53.9,60.0,6.1,0.49,0.45,156
20141103_0001_0007,5,258.5,264.6,6.1,0.49,0.57,157
20141103_0001_0025,6,4.2,10.4,6.2,0.46,0.53,158
20141103_0001_0016,116,124.8,131.0,6.2,0.49,0.35,159
20160121_0001_0040,4287,86.0,92.2,6.2,0.50,0.56,160
20160113_0002_0023,200,96.8,103.0,6.2,0.49,0.59,161
20141104_0001_0002,663,22.2,28.5,6.2,0.47,0.56,162
20141103_0001_0006,563,220.3,226.5,6.2,0.48,0.55,163
20160113_0002_0069,55,63.6,69.9,6.2,0.50,0.48,164
20141103_0001_0010,1285,222.5,228.8,6.2,0.51,0.56,165
20160113_0002_0045,23,121.8,128.1,6.3,0.51,0.51,166
