# users: Sarah Needham
# sample descripton: wtEGFR+EGF 2nM_top-up
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160112_0001_0064_1fa69754-b145-4f39-be84-be27618b2679,22,x,,,,,,50,57,,,
,,x,,,,,,59,129,,,
,,,x,,,,,4,23,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160112_0001_0064_1fa69754-b145-4f39-be84-be27618b2679,61,x,,,,,,85,105,,,
,,x,,,,,,109,120,,,
,,,x,,,,,59,71,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160112_0001_0064_1fa69754-b145-4f39-be84-be27618b2679,136,x,,,,,,304,513,,,
,,x,,,,,,515,593,,,
,,,x,,,,,174,293,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160112_0001_0064_1fa69754-b145-4f39-be84-be27618b2679,198,x,,,,,,146,255,,,
,,,x,,,,,78,137,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160112_0001_0064_1fa69754-b145-4f39-be84-be27618b2679,487,x,,,,,,93,96,,,
,,x,,,,,,87,91,,,
,,x,,,,,,72,75,,,
,,x,,,,,,61,69,,,
,,x,,,,,,49,55,,,
,,,x,,,,,38,42,,,
,,,x,,,,,7,34,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160112_0001_0064_1fa69754-b145-4f39-be84-be27618b2679,613,x,,,,,,216,235,,,
,,x,,,,,,237,241,,,
,,x,,,,,,251,254,,,
,,x,,,,,,256,266,,,
,,x,,,,,,271,275,,,
,,x,,,,,,277,286,,,
,,x,,,,,,288,293,,,
,,x,,,,,,395,484,,,
,,x,,,,,,381,386,,,
,,x,,,,,,332,379,,,
,,x,,,,,,301,319,,,
,,x,,,,,,295,299,,,
,,,x,,,,,95,143,,,
,,,x,,,,,145,163,,,
,,,x,,,,,165,174,,,
,,,x,,,,,176,184,,,
