# users: Sarah Needham
# sample descripton: wtEGFR+EGF 2nM_top-up
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,20,x,,,,,,201,250,,,
,,,x,,,,,64,103,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,31,x,,,,,,110,129,,,
,,,x,,,,,2,101,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,36,x,,,,,,389,408,,,
,,x,,,,,,412,432,,,
,,,x,,,,,257,275,,,
,,,x,,,,,287,305,,,
,,,x,,,,,308,367,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,37,x,,,,,,123,243,,,
,,,x,,,,,100,109,,,
,,,x,,,,,111,119,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,348,x,,,,,,483,492,,,
,,x,,,,,,494,504,,,
,,,x,,,,,411,425,,,
,,,x,,,,,427,464,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,468,x,,,,,,201,230,,,
,,x,,,,,,242,271,,,
,,,x,,,,,53,129,,,
,,,x,,,,,132,191,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,653,x,,,,,,155,179,,,
,,x,,,,,,181,193,,,
,,,x,,,,,85,98,,,
,,,x,,,,,100,107,,,
,,,x,,,,,112,132,,,
,,,x,,,,,135,145,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160113_0002_0044_a2c53dd8-a286-48dd-ac66-108d84cc89b8,6667,x,,,,,,359,363,,,
,,x,,,,,,365,370,,,
,,,x,,,,,341,347,,,
,,,x,,,,,349,352,,,
