folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0048_4fa39df0-0949-447e-ba87-d4a4768b81f8,448,x,,,,,,62,81,,,,30,300
,,,x,,,,,30,57,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0048_4fa39df0-0949-447e-ba87-d4a4768b81f8,2212,x,,,,,,774,897,,,,510,972
,,,x,,,,,716,768,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0048_4fa39df0-0949-447e-ba87-d4a4768b81f8,6935,x,,,,,,567,618,,,,510,973
,,x,,,,,,629,753,,,
,,,x,,,,,539,560,,,
,,,x,,,,,528,531,,,
,,,x,,,,,511,522,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0051_59d487ce-e799-4e9b-b371-3e5988557445,931,x,,,,,,581,691,,,,2,701
,,x,,,,,,517,560,,,
,,x,,,,,,478,505,,,
,,x,,,,,,352,463,,,
,,,x,,,,,255,339,,,
,,,x,,,,,204,246,,,
,,,x,,,,,171,191,,,
,,,x,,,,,125,161,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0051_59d487ce-e799-4e9b-b371-3e5988557445,5514,x,,,,,,278,287,,,,2,700
,,x,,,,,,296,347,,,
,,x,,,,,,364,451,,,
,,,x,,,,,251,274,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0055_0060b03a-28fe-4f63-a1a9-00a8397ecdc8,1719,x,,,,,,251,303,,,,25,430
,,,x,,,,,209,243,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0055_0060b03a-28fe-4f63-a1a9-00a8397ecdc8,2671,x,,,,,,364,429,,,,25,430
,,,x,,,,,298,356,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0055_0060b03a-28fe-4f63-a1a9-00a8397ecdc8,2946,x,,,,,,107,278,,,,25,430
,,,x,,,,,303,335,,,
,,,x,,,,,345,353,,,
,,,x,,,,,359,363,,,
,,,x,,,,,373,386,,,
,,,x,,,,,394,398,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0055_0060b03a-28fe-4f63-a1a9-00a8397ecdc8,3115,x,,,,,,238,427,,,,25,430
,,,x,,,,,176,222,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0058_060deb32-8d20-4b74-82ac-20f74903c212,507,x,,,,,,77,150,,,,30,150
,,,x,,,,,44,73,,,
,,,x,,,,,34,40,,,
