folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0011_b33d89ba-ad3e-4311-ae87-a20d06caa89a,234,x,,,,,,119,200,,,,11,200
,,,x,,,,,54,82,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0011_b33d89ba-ad3e-4311-ae87-a20d06caa89a,276,x,,,,,,73,110,,,,10,200
,,,x,,,,,60,69,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0011_b33d89ba-ad3e-4311-ae87-a20d06caa89a,283,x,,,,,,62,79,,,,11,200
,,x,,,,,,87,115,,,
,,x,,,,,,122,138,,,
,,,x,,,,,146,158,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0011_b33d89ba-ad3e-4311-ae87-a20d06caa89a,1214,x,,,,,,87,125,,,,11,200
,,,x,,,,,23,34,,,
,,,x,,,,,58,79,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0011_b33d89ba-ad3e-4311-ae87-a20d06caa89a,2406,x,,,,,,162,200,,,,11,200
,,,x,,,,,125,154,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0012_03e6ef3d-da5b-45a8-83ef-ff50fab6a751,459,x,,,,,,96,160,,,,95,285
,,,x,,,,,169,196,,,
,,,x,,,,,202,219,,,
,,,x,,,,,223,231,,,
,,,x,,,,,238,245,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0012_03e6ef3d-da5b-45a8-83ef-ff50fab6a751,5062,x,,,,,,187,217,,,,96,285
,,x,,,,,,221,233,,,
,,,x,,,,,136,148,,,
,,,x,,,,,273,285,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0014_0bd697f4-5da5-4fd6-ad58-5ce478219a72,103,x,,,,,,115,160,,,,2,514
,,,x,,,,,65,86,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0014_0bd697f4-5da5-4fd6-ad58-5ce478219a72,212,x,,,,,,206,249,,,,2,514
,,,x,,,,,70,140,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0014_0bd697f4-5da5-4fd6-ad58-5ce478219a72,370,x,,,,,,173,247,,,,2,513
,,,x,,,,,72,104,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0014_0bd697f4-5da5-4fd6-ad58-5ce478219a72,6271,x,,,,,,257,276,,,,2,514
,,,x,,,,,279,288,,,
,,,x,,,,,308,315,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0015_c76fe88e-736d-421d-964b-69a824f647fe,35,x,,,,,,17,33,,,,2,300
,,x,,,,,,60,114,,,
,,,x,,,,,133,147,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0015_c76fe88e-736d-421d-964b-69a824f647fe,112,x,,,,,,54,90,,,,2,300
,,x,,,,,,103,126,,,
,,x,,,,,,131,138,,,
,,,x,,,,,14,21,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0015_c76fe88e-736d-421d-964b-69a824f647fe,4781,x,,,,,,197,285,,,,2,300
,,,x,,,,,165,172,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,171,x,,,,,,44,116,,,,2,658
,,,x,,,,,6,16,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,2109,x,,,,,,117,294,,,,2,658
,,,x,,,,,74,109,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,3077,x,,,,,,93,151,,,,2,658
,,,x,,,,,155,203,,,
,,,x,,,,,210,221,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,8501,x,,,,,,433,453,,,,2,658
,,,x,,,,,415,427,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0022_f7e4cc13-954c-4ad1-90d3-6b008a6045a0,5,x,,,,,,20,43,,,,2,490
,,,x,,,,,2,12,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0022_f7e4cc13-954c-4ad1-90d3-6b008a6045a0,24,x,,,,,,331,366,,,,2,490
,,x,,,,,,388,435,,,
,,,x,,,,,255,298,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0022_f7e4cc13-954c-4ad1-90d3-6b008a6045a0,76,x,,,,,,38,70,,,,2,490
,,,x,,,,,10,22,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0022_f7e4cc13-954c-4ad1-90d3-6b008a6045a0,125,x,,,,,,584,589,,,,540,760
,,x,,,,,,602,616,,,
,,x,,,,,,621,639,,,
,,,x,,,,,646,657,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0022_f7e4cc13-954c-4ad1-90d3-6b008a6045a0,162,x,,,,,,331,343,,,,2,490
,,,x,,,,,278,322,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0022_f7e4cc13-954c-4ad1-90d3-6b008a6045a0,322,x,,,,,,171,235,,,,2,490
,,,x,,,,,281,315,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0023_f7d8f3f0-b04b-42a3-8185-d2a3852cbca1,324,x,,,,,,120,133,,,
,,,x,,,,,138,156,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0023_f7d8f3f0-b04b-42a3-8185-d2a3852cbca1,6538,x,,,,,,250,270,,,
,,x,,,,,,277,304,,,
,,,x,,,,,311,329,,,
,,,x,,,,,335,351,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0024_977960d4-f58b-4447-b651-b51838927647,862,x,,,,,,119,142,,,
,,,x,,,,,149,156,,,
,,,x,,,,,162,174,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0024_977960d4-f58b-4447-b651-b51838927647,1265,x,,,,,,548,575,,,
,,x,,,,,,623,637,,,
,,x,,,,,,643,674,,,
,,x,,,,,,718,734,,,
,,,x,,,,,390,538,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0024_977960d4-f58b-4447-b651-b51838927647,4113,x,,,,,,266,283,,,
,,,x,,,,,210,239,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0024_977960d4-f58b-4447-b651-b51838927647,5856,x,,,,,,185,238,,,
,,x,,,,,,244,260,,,
,,,x,,,,,271,282,,,
,,,x,,,,,289,320,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0025_8a79d235-65ff-44f7-87a1-149738cd2b91,69,x,,,,,,72,142,,,
,,,x,,,,,38,68,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0025_8a79d235-65ff-44f7-87a1-149738cd2b91,82,x,,,,,,139,211,,,
,,,x,,,,,2,122,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0025_8a79d235-65ff-44f7-87a1-149738cd2b91,92,x,,,,,,96,131,,,
,,,x,,,,,48,90,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0025_8a79d235-65ff-44f7-87a1-149738cd2b91,893,x,,,,,,132,152,,,
,,,x,,,,,32,57,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0026_2932e1f3-9d92-4b6a-949d-17a192253f49,357,x,,,,,,345,408,,,,200,490
,,x,,,,,,413,421,,,
,,x,,,,,,450,490,,,
,,,x,,,,,273,277,,,
,,,x,,,,,283,289,,,
,,,x,,,,,299,313,,,
,,,x,,,,,319,328,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0027_f21fefd1-2976-4de9-a978-6c9e11fd58e6,12,x,,,,,,161,221,,,
,,x,,,,,,225,307,,,
,,,x,,,,,50,61,,,
,,,x,,,,,67,155,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0027_f21fefd1-2976-4de9-a978-6c9e11fd58e6,202,x,,,,,,126,164,,,
,,x,,,,,,172,179,,,
,,x,,,,,,187,216,,,
,,,x,,,,,40,100,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0028_7fb594b5-5cd2-43c6-a445-f0fab47c7b0b,14193,x,,,,,,660,708,,,,80,807
,,,x,,,,,554,622,,,
,,,x,,,,,628,656,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0029_96f84996-b68f-4aa4-8333-1cf6663fe8c8,104,x,,,,,,70,90,,,,2,100
,,,x,,,,,40,60,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0029_96f84996-b68f-4aa4-8333-1cf6663fe8c8,691,x,,,,,,118,141,,,,100,440
,,x,,,,,,146,152,,,
,,,x,,,,,100,115,,,
