# users: Sarah Needham
# sample descripton: I942E_EGFR_Affibody
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0010_ecb9138e-a366-4c3b-8b43-526f850d336c,136,x,,,,,,388,397,,,
,,x,,,,,,445,450,,,
,,x,,,,,,423,426,,,
,,,x,,,,,274,287,,,
,,,x,,,,,289,292,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0010_ecb9138e-a366-4c3b-8b43-526f850d336c,172,x,,,,,,382,461,,,,50,781
,,x,,,,,,464,504,,,
,,,x,,,,,266,376,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0010_ecb9138e-a366-4c3b-8b43-526f850d336c,1195,x,,,,,,197,200,,,,50,781
,,x,,,,,,207,213,,,
,,x,,,,,,202,205,,,
,,x,,,,,,222,230,,,
,,x,,,,,,232,249,,,
,,x,,,,,,251,292,,,
,,x,,,,,,374,395,,,
,,x,,,,,,337,367,,,
,,x,,,,,,321,335,,,
,,x,,,,,,304,319,,,
,,x,,,,,,296,302,,,
,,,x,,,,,139,145,,,
,,,x,,,,,158,166,,,
,,,x,,,,,169,172,,,
,,,x,,,,,177,180,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0010_ecb9138e-a366-4c3b-8b43-526f850d336c,1391,x,,,,,,655,685,,,,50,781
,,x,,,,,,726,755,,,
,,,x,,,,,555,573,,,
,,,x,,,,,606,625,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0010_ecb9138e-a366-4c3b-8b43-526f850d336c,6637,x,,,,,,542,554,,,,50,780
,,x,,,,,,556,622,,,
,,x,,,,,,624,709,,,
,,x,,,,,,711,721,,,
,,,x,,,,,420,530,,,
