# users: Sarah Needham
# sample descripton: I942E_EGFR_Affibody
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,1016,x,,,,,,201,310,,,
,,,x,,,,,144,173,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,1511,x,,,,,,87,90,,,
,,x,,,,,,97,101,,,
,,x,,,,,,113,116,,,
,,x,,,,,,105,111,,,
,,,x,,,,,62,74,,,
,,,x,,,,,76,82,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,1880,x,,,,,,166,173,,,
,,x,,,,,,186,191,,,
,,x,,,,,,193,197,,,
,,x,,,,,,260,273,,,
,,x,,,,,,236,243,,,
,,x,,,,,,212,215,,,
,,x,,,,,,206,210,,,
,,x,,,,,,199,204,,,
,,,x,,,,,141,160,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,1961,x,,,,,,200,223,,,
,,x,,,,,,225,229,,,
,,,x,,,,,116,192,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,2440,x,,,,,,394,399,,,
,,x,,,,,,532,642,,,
,,x,,,,,,510,528,,,
,,x,,,,,,494,508,,,
,,x,,,,,,465,468,,,
,,x,,,,,,425,428,,,
,,x,,,,,,401,407,,,
,,,x,,,,,272,276,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,3403,x,,,,,,295,306,,,
,,x,,,,,,308,352,,,
,,,x,,,,,174,293,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,4065,x,,,,,,424,431,,,
,,x,,,,,,433,482,,,
,,,x,,,,,334,340,,,
,,,x,,,,,318,321,,,
,,,x,,,,,325,332,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,4167,x,,,,,,558,566,,,
,,x,,,,,,577,585,,,
,,x,,,,,,568,571,,,
,,x,,,,,,810,813,,,
,,x,,,,,,804,808,,,
,,x,,,,,,796,802,,,
,,x,,,,,,791,794,,,
,,x,,,,,,784,787,,,
,,x,,,,,,773,776,,,
,,x,,,,,,761,767,,,
,,x,,,,,,751,757,,,
,,x,,,,,,732,741,,,
,,x,,,,,,598,601,,,
,,x,,,,,,605,608,,,
,,x,,,,,,622,627,,,
,,x,,,,,,636,640,,,
,,x,,,,,,643,652,,,
,,x,,,,,,669,672,,,
,,x,,,,,,674,681,,,
,,x,,,,,,727,730,,,
,,x,,,,,,717,723,,,
,,x,,,,,,707,714,,,
,,x,,,,,,700,705,,,
,,x,,,,,,694,698,,,
,,x,,,,,,688,692,,,
,,,x,,,,,289,293,,,
,,,x,,,,,519,534,,,
,,,x,,,,,501,516,,,
,,,x,,,,,406,480,,,
,,,x,,,,,482,498,,,
,,,x,,,,,375,401,,,
,,,x,,,,,347,372,,,
,,,x,,,,,311,335,,,
,,,x,,,,,295,308,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,7077,x,,,,,,758,762,,,
,,x,,,,,,753,756,,,
,,x,,,,,,735,751,,,
,,x,,,,,,723,733,,,
,,,x,,,,,674,713,,,
