# users: Sarah Needham
# sample descripton: I942E_EGFR_Affibody
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0013_9a2b276c-c27d-4cdd-ac7d-cff5ef338afd,248,x,,,,,,398,409,,,,130,690
,,x,,,,,,423,432,,,
,,x,,,,,,411,414,,,
,,x,,,,,,416,419,,,
,,x,,,,,,438,446,,,
,,x,,,,,,453,460,,,
,,x,,,,,,605,608,,,
,,x,,,,,,598,602,,,
,,x,,,,,,593,596,,,
,,x,,,,,,585,588,,,
,,x,,,,,,578,583,,,
,,x,,,,,,570,573,,,
,,x,,,,,,558,561,,,
,,x,,,,,,546,549,,,
,,x,,,,,,522,530,,,
,,x,,,,,,489,492,,,
,,x,,,,,,469,472,,,
,,x,,,,,,474,478,,,
,,x,,,,,,462,466,,,
,,,x,,,,,306,356,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0013_9a2b276c-c27d-4cdd-ac7d-cff5ef338afd,1302,x,,,,,,265,280,,,,130,690
,,x,,,,,,259,263,,,
,,x,,,,,,249,257,,,
,,x,,,,,,237,247,,,
,,x,,,,,,219,235,,,
,,x,,,,,,211,217,,,
,,,x,,,,,202,208,,,
,,,x,,,,,186,199,,,
,,,x,,,,,178,184,,,
,,,x,,,,,154,176,,,
,,,x,,,,,145,150,,,
,,,x,,,,,135,143,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0013_9a2b276c-c27d-4cdd-ac7d-cff5ef338afd,2512,x,,,,,,420,424,,,,130,690
,,x,,,,,,463,466,,,
,,x,,,,,,581,589,,,
,,x,,,,,,557,579,,,
,,x,,,,,,544,549,,,
,,x,,,,,,526,530,,,
,,x,,,,,,504,512,,,
,,x,,,,,,497,502,,,
,,x,,,,,,484,490,,,
,,x,,,,,,475,482,,,
,,x,,,,,,468,471,,,
,,,x,,,,,253,277,,,
,,,x,,,,,407,418,,,
,,,x,,,,,399,403,,,
,,,x,,,,,387,391,,,
,,,x,,,,,382,385,,,
,,,x,,,,,285,288,,,
,,,x,,,,,290,298,,,
,,,x,,,,,304,311,,,
,,,x,,,,,318,328,,,
,,,x,,,,,338,342,,,
,,,x,,,,,366,375,,,
,,,x,,,,,356,364,,,
,,,x,,,,,348,354,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0013_9a2b276c-c27d-4cdd-ac7d-cff5ef338afd,2984,x,,,,,,497,501,,,,130,690
,,x,,,,,,508,511,,,
,,x,,,,,,592,595,,,
,,x,,,,,,580,586,,,
,,x,,,,,,561,578,,,
,,x,,,,,,547,559,,,
,,x,,,,,,536,545,,,
,,x,,,,,,524,534,,,
,,x,,,,,,513,519,,,
,,,x,,,,,429,448,,,
,,,x,,,,,450,480,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0013_9a2b276c-c27d-4cdd-ac7d-cff5ef338afd,8160,x,,,,,,583,595,,,,130,690
,,x,,,,,,597,604,,,
,,x,,,,,,612,631,,,
,,x,,,,,,607,610,,,
,,x,,,,,,633,638,,,
,,,x,,,,,646,665,,,
